,avg nodes,,avg millis,,# of puzzles,
Depth,Hamming,Manhattan,Hamming,Manhattan,Hamming,Manhattan
7,28,37,0.01,0.01,1,1
8,28,28,0.01,0.01,1,1
10,66.33,44.67,0.04,0.02,3,3
11,104.5,72.5,0.07,0.04,2,2
12,158.5,68.5,0.13,0.04,2,2
13,329,204,0.53,0.22,2,2
14,374.29,139.86,0.73,0.13,7,7
15,644.8,199.6,2.18,0.26,10,10
16,1008.83,322.69,5.77,0.64,29,29
17,1691.47,528.31,17.47,1.78,32,32
18,2548.92,721.37,46.52,3.46,52,52
19,4276.06,1103.9,162.48,8.12,50,50
20,6229.27,1407.3,415.75,14.95,104,102
21,10544.86,2246.99,1360.45,42.75,100,100
22,15481.85,2839.68,3244.23,79.48,134,135
23,25581.94,4527.68,9507.32,232.12,108,108
24,36721.97,6215.87,17207.96,477.76,133,129
25,58676.04,9172.91,46417.76,1136.15,89,89
26,81094.45,12821.2,111473.74,2446.45,76,81
27,123295.88,19551.69,295786.79,5928.52,42,42
28,159673.59,23652.7,481543.47,9175.97,22,20
29,226849,26538,807486.79,15597.55,1,1
