CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,596,576,0
23,2,222,202,0
46,3,123,103,0
69,4,209,189,0
92,5,609,589,0
115,6,814,794,0
138,7,204,184,0
161,8,308,288,0
184,9,333,313,0
207,1,576,556,0
230,2,202,182,0
253,3,103,83,0
276,4,189,169,0
299,5,589,569,0
322,6,794,774,0
345,7,184,164,0
368,8,288,268,0
391,9,313,293,0
414,1,556,536,0
437,2,182,162,0
460,3,83,63,0
483,4,169,149,0
506,5,569,549,0
529,6,774,754,0
552,7,164,144,0
575,8,268,248,0
598,9,293,273,0
621,1,536,516,0
644,2,162,142,0
667,3,63,43,0
690,4,149,129,0
713,5,549,529,0
736,6,754,734,0
759,7,144,124,0
782,8,248,228,0
805,9,273,253,0
828,1,516,496,0
851,2,142,122,0
874,3,43,23,0
897,4,129,109,0
920,5,529,509,0
943,6,734,714,0
966,7,124,104,0
989,8,228,208,0
1012,9,253,233,0
1035,1,496,476,0
1058,2,122,102,0
1081,3,23,3,0
1104,4,109,89,0
1127,5,509,489,0
1150,6,714,694,0
1173,7,104,84,0
1196,8,208,188,0
1219,9,233,213,0
1242,1,476,456,0
1265,2,102,82,0
1288,3,3,0,1291
1294,4,89,69,0
1317,5,489,469,0
1340,6,694,674,0
1363,7,84,64,0
1386,8,188,168,0
1409,9,213,193,0
1432,1,456,436,0
1455,2,82,62,0
1478,4,69,49,0
1501,5,469,449,0
1524,6,674,654,0
1547,7,64,44,0
1570,8,168,148,0
1593,9,193,173,0
1616,1,436,416,0
1639,2,62,42,0
1662,4,49,29,0
1685,5,449,429,0
1708,6,654,634,0
1731,7,44,24,0
1754,8,148,128,0
1777,9,173,153,0
1800,1,416,396,0
1823,2,42,22,0
1846,4,29,9,0
1869,5,429,409,0
1892,6,634,614,0
1915,7,24,4,0
1938,8,128,108,0
1961,9,153,133,0
1984,1,396,376,0
2007,2,22,2,0
2030,4,9,0,2039
2042,5,409,389,0
2065,6,614,594,0
2088,7,4,0,2092
2095,8,108,88,0
2118,9,133,113,0
2141,1,376,356,0
2164,2,2,0,2166
2169,5,389,369,0
2192,6,594,574,0
2215,8,88,68,0
2238,9,113,93,0
2261,1,356,336,0
2284,5,369,349,0
2307,6,574,554,0
2330,8,68,48,0
2353,9,93,73,0
2376,1,336,316,0
2399,5,349,329,0
2422,6,554,534,0
2445,8,48,28,0
2468,9,73,53,0
2491,1,316,296,0
2514,5,329,309,0
2537,6,534,514,0
2560,8,28,8,0
2583,9,53,33,0
2606,1,296,276,0
2629,5,309,289,0
2652,6,514,494,0
2675,8,8,0,2683
2686,9,33,13,0
2709,1,276,256,0
2732,5,289,269,0
2755,6,494,474,0
2778,9,13,0,2791
2794,1,256,236,0
2817,5,269,249,0
2840,6,474,454,0
2863,1,236,216,0
2886,5,249,229,0
2909,6,454,434,0
2932,1,216,196,0
2955,5,229,209,0
2978,6,434,414,0
3001,1,196,176,0
3024,5,209,189,0
3047,6,414,394,0
3070,1,176,156,0
3093,5,189,169,0
3116,6,394,374,0
3139,1,156,136,0
3162,5,169,149,0
3185,6,374,354,0
3208,1,136,116,0
3231,5,149,129,0
3254,6,354,334,0
3277,1,116,96,0
3300,5,129,109,0
3323,6,334,314,0
3346,1,96,76,0
3369,5,109,89,0
3392,6,314,294,0
3415,1,76,56,0
3438,5,89,69,0
3461,6,294,274,0
3484,1,56,36,0
3507,5,69,49,0
3530,6,274,254,0
3553,1,36,16,0
3576,5,49,29,0
3599,6,254,234,0
3622,1,16,0,3638
3641,5,29,9,0
3664,6,234,214,0
3687,5,9,0,3696
3699,6,214,194,0
3722,6,194,174,0
3745,6,174,154,0
3768,6,154,134,0
3791,6,134,114,0
3814,6,114,94,0
3837,6,94,74,0
3860,6,74,54,0
3883,6,54,34,0
3906,6,34,14,0
3929,6,14,0,3943
